month,gpr,gprt,gpra,gprh,gprht,gprha,share_gpr,n10,share_gprh,n3h,gprh_noew,gpr_noew,gprh_and,gpr_and,gprh_basic,gpr_basic,shareh_cat_1,shareh_cat_2,shareh_cat_3,shareh_cat_4,shareh_cat_5,shareh_cat_6,shareh_cat_7,shareh_cat_8,gprc_arg,gprc_aus,gprc_bel,gprc_bra,gprc_can,gprc_che,gprc_chl,gprc_chn,gprc_col,gprc_deu,gprc_dnk,gprc_egy,gprc_esp,gprc_fin,gprc_fra,gprc_gbr,gprc_hkg,gprc_hun,gprc_idn,gprc_ind,gprc_isr,gprc_ita,gprc_jpn,gprc_kor,gprc_mex,gprc_mys,gprc_nld,gprc_nor,gprc_per,gprc_phl,gprc_pol,gprc_prt,gprc_rus,gprc_sau,gprc_swe,gprc_tha,gprc_tun,gprc_tur,gprc_twn,gprc_ukr,gprc_usa,gprc_ven,gprc_vnm,gprc_zaf,gprhc_arg,gprhc_aus,gprhc_bel,gprhc_bra,gprhc_can,gprhc_che,gprhc_chl,gprhc_chn,gprhc_col,gprhc_deu,gprhc_dnk,gprhc_egy,gprhc_esp,gprhc_fin,gprhc_fra,gprhc_gbr,gprhc_hkg,gprhc_hun,gprhc_idn,gprhc_ind,gprhc_isr,gprhc_ita,gprhc_jpn,gprhc_kor,gprhc_mex,gprhc_mys,gprhc_nld,gprhc_nor,gprhc_per,gprhc_phl,gprhc_pol,gprhc_prt,gprhc_rus,gprhc_sau,gprhc_swe,gprhc_tha,gprhc_tun,gprhc_tur,gprhc_twn,gprhc_ukr,gprhc_usa,gprhc_ven,gprhc_vnm,gprhc_zaf,var_name,var_label,date,gpr_mom_pct,gpr_yoy_pct,gpr_3m_ma,gpr_percentile
2024-05-01,130.52,131.45,133.15,107.46,128.57,102.5,3.91,16348.0,3.88,6062,153.61,146.35,74.05,128.27,176.29,135.79,0.56,0.03,1.5,0.43,0.13,1.24,0.64,0.4,0.07,0.21,0.22,0.05,0.28,0.09,0.02,0.94,0.03,0.48,0.02,0.71,0.17,0.04,0.64,1.25,0.07,0.07,0.04,0.13,1.75,0.15,0.18,0.26,0.06,0.02,0.13,0.13,0.01,0.02,0.18,0.01,1.72,0.26,0.12,0.01,0.01,0.18,0.23,1.53,3.11,0.07,0.09,0.18,0.08,0.18,0.18,0.03,0.08,0.07,0.02,0.86,0.07,0.56,0.03,0.86,0.2,0.05,0.82,0.61,0.02,0.05,0.03,0.13,1.8,0.25,0.15,0.18,0.1,0.02,0.13,0.13,0.02,0.03,0.18,0.02,1.73,0.33,0.08,0.02,0.02,0.21,0.25,1.53,3.74,0.07,0.1,0.2,,,2024-05-01,-20.39,20.33,142.56,83.47
2024-06-01,113.09,125.71,109.74,86.77,100.23,89.5,3.39,15772.0,3.13,6006,132.48,124.54,64.03,105.52,166.58,131.14,0.47,0.05,1.13,0.4,0.17,1.13,0.4,0.52,0.04,0.14,0.27,0.08,0.24,0.18,0.01,0.89,0.04,0.45,0.08,0.47,0.11,0.03,0.72,1.22,0.04,0.13,0.04,0.19,1.52,0.34,0.26,0.34,0.06,0.02,0.12,0.11,0.03,0.12,0.14,0.03,1.47,0.15,0.11,0.01,0.05,0.17,0.18,1.27,2.69,0.06,0.11,0.11,0.02,0.13,0.2,0.03,0.08,0.17,0.02,0.68,0.08,0.27,0.02,0.48,0.17,0.0,0.7,0.52,0.03,0.08,0.02,0.1,1.55,0.33,0.2,0.33,0.08,0.02,0.15,0.1,0.05,0.12,0.2,0.02,1.27,0.1,0.03,0.02,0.08,0.22,0.25,1.12,3.08,0.07,0.12,0.1,,,2024-06-01,-13.35,2.32,135.85,74.6
2024-07-01,92.39,95.16,95.11,71.84,79.6,68.05,2.77,16238.0,2.59,5942,113.29,111.86,66.04,111.78,155.8,107.06,0.45,0.0,0.89,0.25,0.08,0.88,0.45,0.3,0.02,0.07,0.12,0.07,0.17,0.08,0.03,0.73,0.06,0.43,0.03,0.28,0.12,0.03,0.47,1.07,0.08,0.16,0.04,0.16,1.08,0.14,0.16,0.19,0.04,0.02,0.07,0.06,0.01,0.04,0.15,0.02,0.99,0.14,0.09,0.01,0.0,0.15,0.15,0.87,2.09,0.1,0.06,0.06,0.0,0.05,0.12,0.03,0.05,0.08,0.0,0.47,0.07,0.32,0.03,0.35,0.13,0.02,0.54,0.56,0.05,0.15,0.03,0.22,1.16,0.17,0.13,0.2,0.05,0.03,0.07,0.05,0.02,0.07,0.05,0.07,0.74,0.19,0.05,0.02,0.0,0.25,0.1,0.66,2.47,0.1,0.12,0.12,,,2024-07-01,-18.3,-14.01,112.0,48.99
2024-08-01,140.98,124.8,165.18,105.3,100.77,122.46,4.23,15798.0,3.8,6081,138.91,136.32,72.14,123.21,146.36,126.97,0.66,0.03,1.18,0.15,0.1,1.46,0.79,0.53,0.04,0.17,0.08,0.15,0.19,0.1,0.01,0.64,0.09,0.42,0.08,0.79,0.05,0.08,0.65,1.59,0.09,0.04,0.06,0.23,1.88,0.13,0.1,0.17,0.12,0.04,0.05,0.1,0.02,0.07,0.13,0.02,1.55,0.26,0.07,0.05,0.01,0.22,0.13,1.34,3.21,0.15,0.07,0.07,0.03,0.12,0.03,0.18,0.05,0.1,0.02,0.59,0.13,0.31,0.07,0.9,0.03,0.12,0.69,0.81,0.05,0.02,0.07,0.25,1.94,0.15,0.08,0.25,0.12,0.03,0.02,0.07,0.03,0.1,0.1,0.0,1.38,0.21,0.0,0.05,0.0,0.16,0.2,1.13,3.65,0.18,0.03,0.03,,,2024-08-01,52.58,39.38,115.49,88.91
2024-09-01,130.36,134.04,135.55,95.7,102.59,100.68,3.91,15371.0,3.45,6025,144.5,133.14,62.65,108.63,183.3,137.65,0.45,0.0,1.13,0.55,0.12,1.08,0.68,0.5,0.03,0.08,0.15,0.11,0.23,0.03,0.03,0.77,0.04,0.49,0.02,0.47,0.08,0.06,0.79,1.64,0.03,0.14,0.04,0.17,1.85,0.12,0.21,0.27,0.1,0.03,0.03,0.04,0.0,0.08,0.12,0.02,1.44,0.15,0.06,0.03,0.0,0.27,0.21,1.3,2.97,0.07,0.05,0.07,0.05,0.08,0.13,0.13,0.13,0.03,0.05,0.7,0.07,0.45,0.02,0.38,0.08,0.1,0.76,0.86,0.02,0.18,0.02,0.18,1.63,0.1,0.17,0.38,0.15,0.0,0.03,0.07,0.0,0.08,0.15,0.03,1.29,0.12,0.03,0.03,0.0,0.3,0.17,1.26,3.3,0.08,0.05,0.03,,,2024-09-01,-7.53,32.16,121.24,83.27
2024-10-01,130.69,128.41,142.82,90.89,103.32,94.79,3.92,16174.0,3.28,6191,143.66,147.16,63.51,113.23,177.34,143.31,0.73,0.02,1.03,0.57,0.05,1.16,0.68,0.37,0.04,0.11,0.2,0.09,0.22,0.07,0.0,0.98,0.01,0.55,0.05,0.27,0.1,0.11,0.65,1.45,0.11,0.08,0.14,0.27,2.1,0.27,0.22,0.4,0.13,0.04,0.11,0.11,0.01,0.04,0.19,0.01,1.37,0.3,0.1,0.04,0.01,0.28,0.31,1.1,3.03,0.04,0.04,0.15,0.0,0.11,0.24,0.05,0.13,0.05,0.0,0.73,0.0,0.5,0.06,0.21,0.02,0.18,0.65,0.68,0.03,0.06,0.11,0.08,1.74,0.19,0.26,0.42,0.08,0.0,0.08,0.06,0.02,0.1,0.21,0.0,1.24,0.29,0.15,0.02,0.0,0.29,0.39,1.03,3.15,0.05,0.05,0.06,,,2024-10-01,0.25,-33.96,134.01,83.67
2024-11-01,128.9,139.15,127.43,94.96,123.34,88.91,3.87,15881.0,3.43,6101,129.24,135.68,69.46,112.61,159.19,139.03,0.84,0.05,1.16,0.7,0.03,1.2,0.61,0.31,0.05,0.11,0.2,0.21,0.33,0.06,0.03,1.01,0.03,0.7,0.05,0.21,0.13,0.14,0.69,1.52,0.07,0.16,0.03,0.18,1.41,0.25,0.2,0.85,0.15,0.01,0.11,0.12,0.1,0.03,0.13,0.01,1.97,0.21,0.14,0.03,0.0,0.28,0.19,1.79,3.17,0.08,0.09,0.09,0.03,0.07,0.21,0.25,0.13,0.05,0.03,0.85,0.05,0.54,0.05,0.26,0.07,0.1,0.61,0.69,0.1,0.1,0.02,0.11,1.38,0.26,0.16,0.89,0.1,0.0,0.07,0.05,0.18,0.05,0.13,0.0,1.79,0.2,0.08,0.02,0.0,0.3,0.2,1.7,3.38,0.13,0.08,0.08,,,2024-11-01,-1.37,-17.74,129.98,82.66
2024-12-01,142.37,128.26,164.81,116.52,113.43,124.54,4.27,14379.0,4.2,5781,154.34,144.1,76.3,115.33,171.37,141.36,0.48,0.03,1.56,0.31,0.1,1.07,1.45,0.38,0.03,0.11,0.16,0.09,0.31,0.06,0.01,0.84,0.03,0.54,0.07,0.26,0.06,0.12,0.55,1.53,0.06,0.07,0.02,0.19,1.61,0.15,0.21,0.54,0.16,0.03,0.1,0.1,0.04,0.03,0.08,0.02,2.3,0.34,0.1,0.01,0.01,1.2,0.18,1.54,3.29,0.04,0.03,0.1,0.02,0.07,0.1,0.1,0.09,0.05,0.0,0.8,0.07,0.45,0.03,0.28,0.03,0.07,0.73,1.04,0.0,0.07,0.05,0.21,1.8,0.17,0.16,0.45,0.14,0.03,0.09,0.07,0.1,0.03,0.1,0.03,2.25,0.29,0.03,0.02,0.02,1.19,0.19,1.54,4.03,0.02,0.05,0.14,,,2024-12-01,10.45,0.06,133.99,89.52
2025-01-01,113.23,117.09,109.5,100.89,112.79,99.39,3.4,15988.0,3.64,8435,163.71,106.15,76.39,87.77,220.27,158.36,0.31,0.07,1.62,0.13,0.15,1.11,0.56,0.59,0.03,0.08,0.13,0.19,0.34,0.11,0.04,0.86,0.24,0.53,0.18,0.31,0.11,0.1,0.63,1.3,0.1,0.07,0.04,0.24,1.03,0.14,0.14,0.35,0.34,0.01,0.09,0.08,0.03,0.04,0.16,0.02,1.13,0.24,0.08,0.03,0.02,0.21,0.16,0.8,2.75,0.11,0.01,0.08,0.02,0.08,0.12,0.13,0.17,0.12,0.01,0.51,0.18,0.31,0.12,0.31,0.07,0.08,0.52,0.45,0.07,0.01,0.04,0.2,0.91,0.13,0.18,0.28,0.31,0.0,0.07,0.02,0.04,0.05,0.12,0.0,0.85,0.23,0.01,0.02,0.01,0.14,0.15,0.57,2.32,0.09,0.0,0.05,,,2025-01-01,-20.46,-29.39,128.17,75.0
2025-02-01,136.98,138.77,140.79,94.5,107.75,98.23,4.11,14847.0,3.41,7832,153.86,111.05,80.26,102.74,206.54,173.13,0.4,0.1,1.19,0.28,0.24,1.29,0.37,0.38,0.05,0.18,0.44,0.05,0.65,0.05,0.01,1.1,0.09,1.15,0.23,0.38,0.13,0.19,1.03,1.76,0.06,0.09,0.05,0.21,1.0,0.2,0.18,0.33,0.46,0.01,0.11,0.09,0.0,0.01,0.4,0.02,1.95,0.69,0.14,0.1,0.01,0.29,0.14,1.76,3.54,0.1,0.06,0.07,0.0,0.11,0.17,0.01,0.27,0.08,0.0,0.51,0.08,0.57,0.05,0.27,0.09,0.14,0.52,0.43,0.01,0.08,0.04,0.14,0.66,0.08,0.14,0.19,0.19,0.0,0.04,0.05,0.0,0.01,0.2,0.01,1.0,0.52,0.08,0.04,0.0,0.19,0.09,0.91,2.22,0.06,0.01,0.0,,,2025-02-01,20.97,-6.56,130.86,86.49
